split,k,N,p_bias,repetitions,mc_mean,mc_sd,mc_se,ci_low,ci_high,seed
development,18,30,1.6,7000,1368.0318571428572,418.22227271516283,4.998712254100136,1358.2345611557419,1377.8291531299726,10080360
development,18,30,1.8,7000,1250.6862857142858,354.0844646794958,4.23211882305787,1242.3914852427984,1258.9810861857732,10080560
development,18,60,0.4,7000,900.3018571428571,147.89073710295042,1.7676324004099784,896.8373613001474,903.7663529855668,10079670
development,18,60,0.6,7000,1354.6111428571428,275.6540649578186,3.2946962471690613,1348.1536568726922,1361.0686288415934,10079870
development,18,60,0.8,7000,2687.2701428571427,755.9595046724736,9.035444274827976,2669.5609974941613,2704.979288220124,10080070
development,18,60,0.925,7000,5905.754428571428,2189.7588178526184,26.172623866397107,5854.4570284123765,5957.05182873048,10080195
development,18,60,1.075,7000,7132.221571428571,2674.0163075300275,31.960607925866046,7069.579930969869,7194.863211887274,10080345
development,18,60,1.2,7000,6096.213714285715,2008.4699907423185,24.005807939248037,6049.163195305003,6143.264233266426,10080470
development,18,60,1.4,7000,4983.847571428571,1413.3269560783312,16.892488122483154,4950.7389030992335,5016.956239757909,10080670
development,18,60,1.6,7000,4291.279,1080.4755965795673,12.914153447195455,4265.967724352674,4316.590275647327,10080870
development,18,60,1.8,7000,3758.219285714286,857.243289225356,10.246017044420636,3738.137461322238,3778.301110106334,10081070
development,22,15,0.4,7000,268.2387142857143,84.32343899770096,1.0078578672751568,266.26334916431966,270.21407940710895,10082941
development,22,15,0.6,7000,368.82814285714284,125.93645577192011,1.5052285489677444,365.87794911266457,371.7783366016211,10083141
development,22,15,0.8,7000,488.23028571428574,180.4416510235977,2.1566902361893665,484.0032505255454,492.4573209030261,10083341
development,22,15,0.925,7000,537.9761428571428,205.99296940821714,2.4620869035844564,533.1505411993095,542.8017445149761,10083466
development,22,15,1.075,7000,544.7017142857143,208.53480146106787,2.4924676074813603,539.816567542418,549.5868610290105,10083616
development,22,15,1.2,7000,524.9897142857143,197.77920368533586,2.3639136257608775,520.3565287166595,529.6228998547691,10083741
development,22,15,1.4,7000,497.20185714285714,175.45085872023816,2.0970388587471542,493.09173650553174,501.31197778018253,10083941
development,22,15,1.6,7000,470.8237142857143,160.88650699508716,1.9229615601640622,467.05477888413776,474.5926496872908,10084141
development,22,15,1.8,7000,450.53171428571426,148.09403904461186,1.770062323380048,447.06245588149807,454.00097268993045,10084341
development,22,30,0.4,7000,547.6418571428571,125.86769006225701,1.504406641532439,544.6932743073507,550.5904399783635,10083196
development,22,30,0.6,7000,820.2367142857142,228.8686390606673,2.7355034518473667,814.8752260405084,825.59820253092,10083396
development,22,30,0.8,7000,1487.768857142857,521.6635517912348,6.23507201547878,1475.5483405515051,1499.989373734209,10083596
