cell_id,date,mode,demand_kind,scale,primary_seed,replication_seed,primary_repetitions,replication_repetitions,total_repetitions,block_size,pooled_block_count,pooled_mean_difference,pooled_standard_error,pooled_simultaneous_critical,pooled_ci_low,pooled_ci_high,pooled_ci_halfwidth,precision_target,pooled_precision_gate_pass,edge_count,route_count,mean_route_length,second_moment_route_length,multi_channel_probability,maximum_absolute_drift,drift_l1,drift_l2,cross_covariance_frobenius,cross_covariance_spectral,positive_cross_covariance_mass,negative_cross_covariance_mass,maximum_absolute_cross_covariance
2022-05-31-hub-uniform-N10,2022-05-31,hub,uniform,10,202607231100,202607241100,20000,20000,40000,500,80,0.0089,0.0062096098962246,3.405199776924186,-0.0122449622334104,0.0300449622334104,0.0211449622334104,0.03,True,36,948,1.9225806451612903,3.7677419354838717,0.9225806451612906,1.214306433183765e-17,2.233456475320139e-16,4.2007762609479903e-17,0.06266151520143426,0.06098927943026309,0.01075268817204301,1.8344086021505381,0.002150537634408603
2022-05-31-hub-uniform-N20,2022-05-31,hub,uniform,20,202607231101,202607241101,20000,20000,40000,500,80,0.0074748125,0.0063237230720861,3.405199776924186,-0.014058727894398,0.029008352894398,0.021533540394398,0.03,True,36,948,1.9225806451612903,3.7677419354838717,0.9225806451612906,1.214306433183765e-17,2.233456475320139e-16,4.2007762609479903e-17,0.06266151520143426,0.06098927943026309,0.01075268817204301,1.8344086021505381,0.002150537634408603
2022-05-31-hub-uniform-N40,2022-05-31,hub,uniform,40,202607231102,202607241102,20000,20000,40000,500,80,-0.0017027031249999,0.0056789242402348,3.405199776924186,-0.021040574681017,0.017635168431017,0.019337871556017,0.03,True,36,948,1.9225806451612903,3.7677419354838717,0.9225806451612906,1.214306433183765e-17,2.233456475320139e-16,4.2007762609479903e-17,0.06266151520143426,0.06098927943026309,0.01075268817204301,1.8344086021505381,0.002150537634408603
2022-05-31-hub-uniform-N80,2022-05-31,hub,uniform,80,202607231103,202607241103,20000,20000,40000,500,80,-0.0004484218749999,0.0054741166545158,3.405199776924186,-0.0190888826858143,0.0181920389358143,0.0186404608108143,0.03,True,36,948,1.9225806451612903,3.7677419354838717,0.9225806451612906,1.214306433183765e-17,2.233456475320139e-16,4.2007762609479903e-17,0.06266151520143426,0.06098927943026309,0.01075268817204301,1.8344086021505381,0.002150537634408603
2022-05-31-primary-hotspot-N10,2022-05-31,primary,hotspot,10,202607231010,202607241010,20000,20000,40000,500,80,-0.0036457499999999,0.0054906168198573,3.405199776924186,-0.0223423971701542,0.0150508971701542,0.0186966471701542,0.03,True,30,930,1.904091778869379,3.8208665522086473,0.8497961710691243,0.0030704792579812094,0.0918074940201465,0.016764393923985658,0.10503208828514157,0.06577343293691366,0.22388676620941333,1.7010016359333742,0.0593868006562604
2022-05-31-primary-hotspot-N20,2022-05-31,primary,hotspot,20,202607231011,202607241011,20000,20000,40000,500,80,-0.01608525,0.0052543120642188,3.405199776924186,-0.0339772322689682,0.0018067322689682,0.0178919822689682,0.03,True,30,930,1.904091778869379,3.8208665522086473,0.8497961710691243,0.0030704792579812094,0.0918074940201465,0.016764393923985658,0.10503208828514157,0.06577343293691366,0.22388676620941333,1.7010016359333742,0.0593868006562604
2022-05-31-primary-hotspot-N40,2022-05-31,primary,hotspot,40,202607231012,202607241012,20000,20000,40000,500,80,-0.0314027968749999,0.0030689286515423,3.405199776924186,-0.0418531120346281,-0.0209524817153718,0.0104503151596281,0.03,True,30,930,1.904091778869379,3.8208665522086473,0.8497961710691243,0.0030704792579812094,0.0918074940201465,0.016764393923985658,0.10503208828514157,0.06577343293691366,0.22388676620941333,1.7010016359333742,0.0593868006562604
2022-05-31-primary-hotspot-N80,2022-05-31,primary,hotspot,80,202607231013,202607241013,20000,20000,40000,500,80,-0.01761439453125,0.0020256300818102,3.405199776924186,-0.0245120696339612,-0.0107167194285387,0.0068976751027112,0.03,True,30,930,1.904091778869379,3.8208665522086473,0.8497961710691243,0.0030704792579812094,0.0918074940201465,0.016764393923985658,0.10503208828514157,0.06577343293691366,0.22388676620941333,1.7010016359333742,0.0593868006562604
2022-05-31-primary-uniform-N10,2022-05-31,primary,uniform,10,202607231000,202607241000,20000,20000,40000,500,80,-0.0010134999999999,0.0052319144398294,3.405199776924186,-0.0188292138833937,0.0168022138833937,0.0178157138833937,0.03,True,30,930,1.9956989247311832,4.107526881720431,0.9354838709677422,1.214306433183765e-17,2.1640675362810669e-16,4.172136185094685e-17,0.11211707869021141,0.07045539732160223,0.24086021505376348,1.8709677419354844,0.06236559139784948
2022-05-31-primary-uniform-N20,2022-05-31,primary,uniform,20,202607231001,202607241001,20000,20000,40000,500,80,0.0152316249999999,0.0057884087311663,3.405199776924186,-0.0044790631201136,0.0349423131201136,0.0197106881201136,0.03,True,30,930,1.9956989247311832,4.107526881720431,0.9354838709677422,1.214306433183765e-17,2.1640675362810669e-16,4.172136185094685e-17,0.11211707869021141,0.07045539732160223,0.24086021505376348,1.8709677419354844,0.06236559139784948
