cell_id,snapshot,snapshot_sha256,date,mode,demand_kind,scale,seed,node_count,channel_count,route_count,multi_channel_route_count,repetitions,mean_correlated,mean_proxy,mean_difference,relative_mean_difference,normalized_mean_difference,paired_standard_error,simultaneous_critical,normalized_ci_low,normalized_ci_high,normalized_ci_halfwidth,correlated_q10,correlated_median,correlated_q90,proxy_q10,proxy_median,proxy_q90,maximum_stopping_time,censored_count,runtime_seconds
2022-05-31-hub-hotspot-N80,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,hub,hotspot,80,202607221113,31,36,948,876,2000,8375.8975,8393.8135,-17.916,-0.0021344291244974646,-0.002799375,51.689697497525486,3.2838500376251365,-0.029321439855012656,0.023722689855012656,0.026522064855012656,6267.2,8357.0,10411.1,6315.0,8318.0,10616.6,15109,0,10.616472700000031
2023-07-16-primary-uniform-N10,20230716.gml.geo,ee1b054a6ba2cb0ea3184f9f68f5cca7d8e70d17ff2d9e44e5e8871be8a8b855,2023-07-16,primary,uniform,10,202607222000,31,30,930,870,2000,245.713,244.3495,1.3635,0.00558012191553492,0.013635,2.539081162635457,3.2838500376251365,-0.06974461771453722,0.0970146177145372,0.08337961771453721,150.0,235.0,352.0,145.0,237.0,349.0,618,0,0.32572810000010577
2023-07-16-primary-uniform-N20,20230716.gml.geo,ee1b054a6ba2cb0ea3184f9f68f5cca7d8e70d17ff2d9e44e5e8871be8a8b855,2023-07-16,primary,uniform,20,202607222001,31,30,930,870,2000,1005.3945,993.3215,12.073,0.012154171635266124,0.0301825,10.313712336815648,3.2838500376251365,-0.05448921161326725,0.11485421161326725,0.08467171161326725,628.9,965.0,1428.1000000000001,620.8,959.0,1418.1000000000001,2771,0,1.184030200000052
2023-07-16-primary-uniform-N40,20230716.gml.geo,ee1b054a6ba2cb0ea3184f9f68f5cca7d8e70d17ff2d9e44e5e8871be8a8b855,2023-07-16,primary,uniform,40,202607222002,31,30,930,870,2000,3996.212,3989.2595,6.9525,0.0017428046483313506,0.0043453125,40.108771333597595,3.2838500376251365,-0.07797418140808278,0.08666480640808279,0.08231949390808278,2484.7,3819.5,5685.1,2520.2,3824.0,5640.6,12152,0,4.41651580000007
2023-07-16-primary-uniform-N80,20230716.gml.geo,ee1b054a6ba2cb0ea3184f9f68f5cca7d8e70d17ff2d9e44e5e8871be8a8b855,2023-07-16,primary,uniform,80,202607222003,31,30,930,870,2000,16136.3745,16153.2945,-16.92,-0.0010474643423358623,-0.0026437500000000003,159.1815633478165,3.2838500376251365,-0.08432005981077427,0.07903255981077427,0.08167630981077427,10215.3,15622.5,22782.5,10123.6,15621.5,22747.3,50339,0,18.23385559999997
2023-07-16-primary-hotspot-N10,20230716.gml.geo,ee1b054a6ba2cb0ea3184f9f68f5cca7d8e70d17ff2d9e44e5e8871be8a8b855,2023-07-16,primary,hotspot,10,202607222010,31,30,930,870,2000,250.3435,248.331,2.0125,0.008104102991571735,0.020125,2.5381802243537885,3.2838500376251365,-0.06322503225243566,0.10347503225243566,0.08335003225243566,156.0,245.0,355.10000000000014,152.9,237.0,353.10000000000014,681,0,0.3008595000001151
2023-07-16-primary-hotspot-N20,20230716.gml.geo,ee1b054a6ba2cb0ea3184f9f68f5cca7d8e70d17ff2d9e44e5e8871be8a8b855,2023-07-16,primary,hotspot,20,202607222011,31,30,930,870,2000,927.5245,942.1715,-14.647,-0.015546001975224256,-0.0366175,8.687003926216853,3.2838500376251365,-0.10793454542489231,0.034699545424892314,0.07131704542489231,615.0,904.5,1278.1000000000001,606.9,908.0,1318.1000000000001,2281,0,1.0226646000000983
2023-07-16-primary-hotspot-N40,20230716.gml.geo,ee1b054a6ba2cb0ea3184f9f68f5cca7d8e70d17ff2d9e44e5e8871be8a8b855,2023-07-16,primary,hotspot,40,202607222012,31,30,930,870,2000,3060.876,3140.0265,-79.1505,-0.025206952871257612,-0.049469062499999994,23.907682950819666,3.2838500376251365,-0.09853734097348686,-0.0004007840265131263,0.04906827847348687,2171.8,3034.0,4014.1000000000004,2152.9,3073.5,4183.6,6322,0,3.4574572000001353
2023-07-16-primary-hotspot-N80,20230716.gml.geo,ee1b054a6ba2cb0ea3184f9f68f5cca7d8e70d17ff2d9e44e5e8871be8a8b855,2023-07-16,primary,hotspot,80,202607222013,31,30,930,870,2000,9101.7115,9288.557,-186.8455,-0.02011566489821831,-0.029194609375,57.01936131347995,3.2838500376251365,-0.05845133309291131,6.211434291130899e-05,0.02925672371791131,6872.6,9122.0,11302.5,6892.5,9276.5,11681.5,17485,0,9.884900799999741
2023-07-16-hub-uniform-N10,20230716.gml.geo,ee1b054a6ba2cb0ea3184f9f68f5cca7d8e70d17ff2d9e44e5e8871be8a8b855,2023-07-16,hub,uniform,10,202607222100,31,31,930,868,2000,245.06,246.6055,-1.5455,-0.00626709461062304,-0.015455000000000002,2.564504397788808,3.2838500376251365,-0.09966947863168606,0.06875947863168606,0.08421447863168606,151.0,236.0,345.10000000000014,148.0,237.0,354.0,617,0,0.31661639999992985
2023-07-16-hub-uniform-N20,20230716.gml.geo,ee1b054a6ba2cb0ea3184f9f68f5cca7d8e70d17ff2d9e44e5e8871be8a8b855,2023-07-16,hub,uniform,20,202607222101,31,31,930,868,2000,1001.1595,1003.1535,-1.994,-0.001987731688121509,-0.004985,9.901359600730167,3.2838500376251365,-0.08627145024349442,0.07630145024349441,0.08128645024349442,623.0,963.5,1418.1000000000001,640.0,969.0,1415.1000000000001,2845,0,1.14251349999995
2023-07-16-hub-uniform-N40,20230716.gml.geo,ee1b054a6ba2cb0ea3184f9f68f5cca7d8e70d17ff2d9e44e5e8871be8a8b855,2023-07-16,hub,uniform,40,202607222102,31,31,930,868,2000,4044.239,4019.0105,25.2285,0.006277291388017026,0.0157678125,40.014231099561556,3.2838500376251365,-0.06635764643864758,0.09789327143864757,0.08212545893864757,2541.8,3922.0,5667.3,2501.9,3840.5,5751.600000000002,10766,0,4.429303899999923
2023-07-16-hub-uniform-N80,20230716.gml.geo,ee1b054a6ba2cb0ea3184f9f68f5cca7d8e70d17ff2d9e44e5e8871be8a8b855,2023-07-16,hub,uniform,80,202607222103,31,31,930,868,2000,16058.59,16326.1285,-267.5385,-0.0163871367299357,-0.041802890625,164.68562872914512,3.2838500376251365,-0.12630334501539414,0.04269756376539414,0.08450045439039414,10079.0,15349.5,23139.600000000002,10255.8,15794.0,22941.400000000005,52727,0,18.061941599999955
2023-07-16-hub-hotspot-N10,20230716.gml.geo,ee1b054a6ba2cb0ea3184f9f68f5cca7d8e70d17ff2d9e44e5e8871be8a8b855,2023-07-16,hub,hotspot,10,202607222110,31,31,930,868,2000,246.165,249.742,-3.577,-0.01432278111010563,-0.035769999999999996,2.5092676715774687,3.2838500376251365,-0.11817058737721209,0.046630587377212096,0.08240058737721209,152.0,241.5,346.10000000000014,152.0,242.0,358.0,678,0,0.31994829999985086
2023-07-16-hub-hotspot-N20,20230716.gml.geo,ee1b054a6ba2cb0ea3184f9f68f5cca7d8e70d17ff2d9e44e5e8871be8a8b855,2023-07-16,hub,hotspot,20,202607222111,31,31,930,868,2000,930.941,937.024,-6.083,-0.006491829451540195,-0.0152075,8.316681288189699,3.2838500376251365,-0.08348433540284503,0.05306933540284503,0.06827683540284503,608.0,907.5,1276.0,621.0,909.0,1274.1000000000001,2548,0,1.076575000000048
2023-07-16-hub-hotspot-N40,20230716.gml.geo,ee1b054a6ba2cb0ea3184f9f68f5cca7d8e70d17ff2d9e44e5e8871be8a8b855,2023-07-16,hub,hotspot,40,202607222112,31,31,930,868,2000,3089.8855,3117.7095,-27.824,-0.008924500502692763,-0.017390000000000003,23.8772627063735,3.2838500376251365,-0.06639584377294368,0.03161584377294367,0.049005843772943675,2161.8,3050.0,4067.3,2125.5,3091.0,4134.400000000001,6429,0,3.3487883999996484
2023-07-16-hub-hotspot-N80,20230716.gml.geo,ee1b054a6ba2cb0ea3184f9f68f5cca7d8e70d17ff2d9e44e5e8871be8a8b855,2023-07-16,hub,hotspot,80,202607222113,31,31,930,868,2000,9085.573,9268.201,-182.628,-0.019704794921905557,-0.028535625,57.251517145100244,3.2838500376251365,-0.057911468239223995,0.0008402182392239985,0.029375843239223997,6835.9,9064.0,11390.1,6911.1,9207.5,11645.900000000001,16998,0,9.846636299999773
