snapshot,mode,local_node_index,node_id,subgraph_degree
20230716.gml.geo,primary,10,020c2c8813173fd64f0a7d93a62c56ba2bf500f8609e4030bb37523ecaa20e7ac7,1
20230716.gml.geo,primary,11,020d01b5c15c94dc84eb3bf0402f41b073423624a2df35c88ee2cd6c8b4b29e838,1
20230716.gml.geo,primary,12,020d08c8151aeef5fc1116e414fe33f939e48b17bfe82f5fe2578c3c18e4c771ab,1
20230716.gml.geo,primary,13,020dd8fc221b1075c628bc049a0580e4dbb510d73d5416ea9a1334a518c467c5c3,1
20230716.gml.geo,primary,14,020ec9d5bfbeef8ffb2754d763568fd7ed1bc32b41a55fe25915d4024759592b8e,1
20230716.gml.geo,primary,15,0213291558f8001f3424fb4d766c40894b953d5b997f11db640f6c44e6b2b46f2f,1
20230716.gml.geo,primary,16,0213ff3cc55dc06e580049ee4830f645a271e4a1d5fc14710e1a6bbb16fb290718,1
20230716.gml.geo,primary,17,02159952697e25d8c7d50c0b68f110a90813a752bfc4ed423c7cfeb6634b7b4d29,1
20230716.gml.geo,primary,18,0215c0166d5d325f5e8fa7ef8a18844942b2b20ec18bec40088f95beffab9e416c,1
20230716.gml.geo,primary,19,021607cfce19a4c5e7e6e738663dfafbbbac262e4ff76c2c9b30dbeefc35c00643,1
20230716.gml.geo,primary,20,0216b3820d52d96c6ea3f2a39ffbc0fe7e9d4f4d446b76e757b830af636edeba01,1
20230716.gml.geo,primary,21,0217664407a42f66eda9f01ecc77a37e7105213eeb234647ab38f3821190dd8490,1
20230716.gml.geo,primary,22,0217a75ccc5fa0b0d56c3de5a90a13c1c62fe56aaf3d55c982ff79381268b3cdaa,1
20230716.gml.geo,primary,23,021970afdbcdd5e5ef4b3755dfb8d485c4bac94ee380d4ce457e06fdfae4b0c846,1
20230716.gml.geo,primary,24,021bfec51e3576e401646f88e0d6fc134a7192f0c9d70e38473c420572973b6d7b,1
20230716.gml.geo,primary,25,021c67571cad0c6576a10a10fefad0fb1365edbdb9cd2e2928359df05f92fd7f23,1
20230716.gml.geo,primary,26,021db9d61b5aa5a8469c77931a32a14e08449726f7af867ee6e815ca1801acd90c,1
20230716.gml.geo,primary,27,021e74b707ca61dafbc6c7eacfa5c1a9b8337889a1df2f00257c903d7674e57635,1
20230716.gml.geo,primary,28,021eca10105c39143698a8735c17afd3f665f8f98461fc8f95f72fafc0c354efb9,1
20230716.gml.geo,primary,29,0281ebab6286053456f29e2003bcc31e67e05829f595a5059d3be42289e2d2812f,1
20230716.gml.geo,primary,30,03c8dfbf829eaeb0b6dab099d87fdf7f8faceb0c1b935cd243e8c1fb5af71361cf,30
20230716.gml.geo,hub,0,020016201d389a44840f1f33be29288952f67c8ef6b3f98726fda180b4185ca6e2,1
20230716.gml.geo,hub,1,02003e11a6b742fe6341b48b8a1f365012aecd49c367817bbb28bd00399904b74b,1
20230716.gml.geo,hub,2,0200d990697ccf274607b46d23a95dddf94c96ae78f4fd6f36d9a331b938d3d6ec,1
20230716.gml.geo,hub,3,0200da31ae309a42f955de9383c150a4167246bb22d5380898cd70aecc59136c50,1
20230716.gml.geo,hub,4,020100797aaa4c069bfe4e7c8803264d7badda7bd372b17eaa67fb7de6db0c25d6,1
20230716.gml.geo,hub,5,020111074bd304e17a1cc74e1f4b76d64b1764895ae3a26ad3ab2c4fd0f63cdc35,1
20230716.gml.geo,hub,6,02017f01f646318be8707ebf07b1f38bd89577f1654102057b824f91c70f75f9b8,1
20230716.gml.geo,hub,7,0201af659a3986832bb5bf2493c537cee9f7d62a7bff5d0a68176c1d60df931cf7,1
20230716.gml.geo,hub,8,0201b12f463c025e3790ea8cdd3d0975832a2f513fc1d4c888de31e263d76c9cb1,1
20230716.gml.geo,hub,9,0201bfc5d9c14d50ebaf4dfd83d70df314ed2a9f0119f28619f3f000a1079ef580,1
20230716.gml.geo,hub,10,0201dd8a0e2b0bba7b39314b1cb515b789b56861fce45b0a278bdccf43415294e7,1
20230716.gml.geo,hub,11,0201de34693d639e341391c882535e039627605ea14f8be912f55c0e36772ec1f3,1
20230716.gml.geo,hub,12,020202f7e7664e038fe098674de355c8a6313bbe51961922fde0ebc897266300fb,1
20230716.gml.geo,hub,13,0202cb8bd84def2572449b28f6dffbffb16b4ecbe00c32d4c02a6e9b13822e71d7,1
20230716.gml.geo,hub,14,0202d9f3575d6b788235dc617262ee3bb2d4c3c740adae6e98016bc1396e1a279f,1
20230716.gml.geo,hub,15,0202e7727ee46d943a44c7bf0dce14220a839630dee67d03446bf935178b55a0df,2
20230716.gml.geo,hub,16,0203a983d267ad02c84dc8e6c863512b5954f08b220eca62409cfe7df03c015419,1
20230716.gml.geo,hub,17,0203bb82348f99eebe9471686366fe642f6a84b4b2db79f605a86c7b89df8f74d5,1
20230716.gml.geo,hub,18,0203bd7e0e369ee76635373adb43afaa03553c727f22478bd3814540724879b231,1
20230716.gml.geo,hub,19,0203cc3f99c736d6b21f269bc23ffa40bf7e195fd3f7e13bade84b44408a009b60,1
20230716.gml.geo,hub,20,0203e5b16ebe87b089f22e18752f1f7a66a1bdf77879df8d1c9e8d912dbfb9beb4,2
20230716.gml.geo,hub,21,02045f289f0de16b275e925aff584bc6c626dddc0f29e15b367d68a35de445d98b,1
20230716.gml.geo,hub,22,0204cc3a3d612ef9aece3426291fd3fc758cd87c164aedda8e2bb92dabf728642b,1
20230716.gml.geo,hub,23,020556f350ee34c324591ff4c38aa8201e5dd5ce787be5c0844dcc2248e1e0fb6c,1
20230716.gml.geo,hub,24,02057240f617091dedd1bce0da761eeaf1809ad9e131771cf1f34858955e2a304f,1
20230716.gml.geo,hub,25,0205d359cfd8dad7e3dc10a21215457da54a9cc47ee01aa83dd2284fcdaada83e3,1
20230716.gml.geo,hub,26,02063e9cd1e6c8bc20b4391785e13fdcfc81b786649995f85ece3324216d9c42fc,1
20230716.gml.geo,hub,27,02063fec62479bdf7d43f046056303e48f5029108111ade42aef41c622a6245d52,1
20230716.gml.geo,hub,28,0206722d0f786ae2bf4779675b5b7d91ae334fc59992f98528f30a83b91e3c8b8f,1
20230716.gml.geo,hub,29,02069f270b69c81e9a3df61072ce6213583c7aa4824ae4ed22d4f169194a5cd8ed,1
20230716.gml.geo,hub,30,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,30
