split,k,N,p_bias,repetitions,mc_mean,mc_sd,mc_se,ci_low,ci_high,seed
calibration,5,20,1.9,5000,123.346,29.155107409467927,0.41231548310913857,122.53787650283786,124.15412349716215,8267319
calibration,5,40,0.3,5000,143.0544,23.776057301835475,0.3362442269601558,142.39537342514856,143.7134265748514,8266059
calibration,5,40,0.5,5000,200.1484,42.627645966909036,0.6028459505844153,198.96684364862875,201.32995635137127,8266259
calibration,5,40,0.7,5000,334.5504,92.98212190974654,1.3149657786299207,331.9731144329827,337.12768556701735,8266459
calibration,5,40,0.85,5000,652.8932,259.11094513767273,3.6643821277300774,645.7111430040568,660.0752569959432,8266609
calibration,5,40,1.0,5000,1833.2526,1113.5420180480087,15.747862241957996,1802.3873571722643,1864.1178428277358,8266759
calibration,5,40,1.15,5000,968.6006,372.90372124276706,5.273655000409172,958.2644261323085,978.9367738676915,8266909
calibration,5,40,1.3,5000,651.497,190.81231369807284,2.698493618996041,646.2080496942566,656.7859503057433,8267059
calibration,5,40,1.5,5000,461.8842,109.70382389030581,1.5514463558986002,458.84342101849285,464.9249789815072,8267259
calibration,5,40,1.7,5000,356.5066,72.61758615654917,1.0269677520938854,354.4937801926119,358.5194198073881,8267459
calibration,5,40,1.9,5000,295.3078,52.054773066836134,0.7361656605737337,293.8649418186203,296.75065818137966,8267659
calibration,5,80,0.3,5000,286.079,34.11376128106879,0.4824414386724565,285.1334321555523,287.0245678444477,8266739
calibration,5,80,0.5,5000,398.2752,59.80092553714382,0.8457127993709235,396.61763337196845,399.9327666280315,8266939
calibration,5,80,0.7,5000,667.877,133.727159775613,1.891187630123057,664.1703403569511,671.5836596430488,8267139
calibration,5,80,0.85,5000,1332.1,378.44825936579946,5.352066610516043,1321.610142200529,1342.5898577994708,8267289
calibration,5,80,1.0,5000,7248.5794,4254.304440134663,60.16495037702518,7130.658264129391,7366.5005358706085,8267439
calibration,5,80,1.15,5000,2634.616,780.2764033322547,11.034774719921739,2612.9882389714403,2656.2437610285597,8267589
calibration,5,80,1.3,5000,1616.634,352.3610814354248,4.983138202184284,1606.8672285937332,1626.4007714062668,8267739
calibration,5,80,1.5,5000,1088.4362,188.0870864253471,2.659953085299663,1083.2227877522466,1093.6496122477536,8267939
calibration,5,80,1.7,5000,826.9858,122.14164283545112,1.7273436782842555,823.60026860164,830.3713313983601,8268139
calibration,5,80,1.9,5000,668.528,88.06353532110013,1.245406460016219,666.0870481922547,670.9689518077454,8268339
calibration,6,10,0.3,5000,42.5734,14.629142654405985,0.20688731947751685,42.16790830496603,42.978891695033965,8266558
