k,N,p_bias,formula_mean,refined,repetitions,mc_mean,mc_sd,mc_se,signed_relative_error,absolute_relative_error,simultaneous_ci_low,simultaneous_ci_high,uncertainty_aware_error_upper
3,28,0.94,557.2873599911105,False,6000,557.2275,346.30118321387897,4.470729051197589,0.00010742468939626386,0.00010742468939626386,538.5323024577335,575.9226975422664,0.03482624430843484
3,28,1.0,784.0,True,66000,780.8490909090909,548.2949872426627,2.134235343287343,0.004035234371907474,0.004035234371907474,771.9243829056489,789.7737989125329,0.015643523331775766
3,28,1.06,573.7452577311194,False,6000,574.9588333333334,348.29073948619543,4.4964141122276695,-0.002110717379848268,0.002110717379848268,556.1562288593689,593.7614378072979,0.03371081178679469
3,28,1.275,206.3495891118246,False,6000,207.3035,70.50562077955382,0.9102236503107585,-0.004601518489438985,0.004601518489438985,203.49722796800467,211.10977203199536,0.022548377909523354
3,28,1.675,97.44608002543488,False,6000,97.7985,19.556890765475362,0.2524783741276123,-0.003603531491435176,0.003603531491435176,96.74271401399811,98.8542859860019,0.014245269656456006
3,28,1.875,77.55742102544234,False,6000,77.55,13.045875432908614,0.16842152762783846,9.569342930161933e-05,9.569342930161933e-05,76.84571358646096,78.25428641353903,0.009261511225094221
3,56,0.325,124.44444444444439,False,6000,124.36066666666666,16.922006735044135,0.21846216756411893,0.0006736678085063838,0.0006736678085063838,123.4471258702212,125.27420746311212,0.008078912872152788
3,56,0.525,176.8421052630671,False,6000,176.6865,31.219486336867497,0.4030418355327927,0.0008806856385016178,0.0008806856385016178,175.0011044757365,178.3718955242635,0.010519938104652793
3,56,0.725,305.4545195733905,False,6000,303.617,75.45519791338891,0.9741224163444664,0.006052097126941067,0.006052097126941067,299.5435232145904,307.69047678540966,0.019733347245720623
3,56,0.94,1356.1976540893577,False,6000,1353.4276666666667,685.2936706286749,8.84710324535403,0.0020466460756732776,0.0020466460756732776,1316.431834229804,1390.4234991035294,0.030207276081878565
3,56,1.0,3136.0,True,66000,3146.4648181818184,2249.35631484283,8.755607580740987,-0.0033258970897584858,0.0033258970897584858,3109.8515921397097,3183.078044223927,0.01479010051586882
3,56,1.06,1531.4801486948281,False,6000,1519.8533333333332,732.14925179914,9.452006197187632,0.0076499587864804226,0.0076499587864804226,1480.3279850056786,1559.378681660988,0.034554615063197236
3,56,1.275,465.287607361744,False,6000,466.56766666666664,111.89619094267748,1.4445736134167837,-0.0027435662528178728,0.0027435662528178728,460.52690938571754,472.60842394761573,0.015490237191970069
3,56,1.675,210.04542440504434,False,6000,209.91066666666666,30.72105114390001,0.39660706486103686,0.0006419766108964761,0.0006419766108964761,208.25217935076694,211.56915398256638,0.008610930554810547
3,56,1.875,165.56826415508849,False,6000,165.2705,19.946419219748396,0.2575071648485236,0.00180167758364915,0.00180167758364915,164.19368517622925,166.34731482377074,0.008371692110959561
3,112,0.325,248.88888888888866,False,6000,248.6365,24.041818482025313,0.31037854197808573,0.0010150918665949933,0.0010150918665949933,247.33859353134326,249.93440646865676,0.006267907225521396
3,112,0.525,353.6842105263165,False,6000,353.1445,44.67372729097433,0.5767353393698512,0.0015282993967526773,0.0015282993967526773,350.732772298399,355.55622770160096,0.008415062580483523
3,112,0.725,610.9090909090601,False,6000,611.8348333333333,107.00921322604937,1.3814830023841589,-0.0015130593647794382,0.0015130593647794382,606.0579013530925,617.6117653135742,0.010852569172012272
3,112,0.94,2797.686238464736,False,6000,2795.81,1091.2106964425668,14.08746951508486,0.000671089403334333,0.000671089403334333,2736.9005866942175,2854.7194133057824,0.022209667412121492
3,112,1.0,12544.0,False,6000,12698.407166666666,8939.011087675539,115.40213691376937,-0.012159569672012482,0.012159569672012482,12215.831344760243,13180.982988573089,0.04832590931384284
3,112,1.06,3675.646227445387,False,6000,3661.142,1325.3550489725283,17.110260108275057,0.003961667546734649,0.003961667546734649,3589.592217165794,3732.6917828342057,0.023973199481566176
3,112,1.275,1011.4996687913815,False,6000,1013.2563333333334,177.119616416822,2.2866044155633247,-0.0017336822718619707,0.0017336822718619707,1003.694465288898,1022.8182013777688,0.011066025781650057
3,112,1.675,442.34917183823023,False,6000,442.9021666666667,46.55669142266154,0.6010443017816194,-0.0012485710616372847,0.0012485710616372847,440.3887864495294,445.415546883804,0.006884301787458025
3,112,1.875,346.3612009696395,False,6000,346.58933333333334,29.72072071404364,0.38369285454257607,-0.0006582209599463058,0.0006582209599463058,344.98484922591285,348.19381744075383,0.005263207958671301
4,14,0.325,40.87816557396919,False,6000,41.34316666666667,11.75097517407864,0.1517044371696779,-0.011247350655226633,0.011247350655226633,40.70878592284464,41.9775474104887,0.026189758676677943
