cell_id,date,mode,demand_kind,scale,formal_seed,replication_seed,block_count,formal_mean,replication_mean,difference_replication_minus_formal,welch_standard_error,welch_degrees_of_freedom,simultaneous_critical,simultaneous_ci_low,simultaneous_ci_high,simultaneous_ci_halfwidth,contains_zero,formal_block_ci_halfwidth,replication_block_ci_halfwidth,precision_gate_pass,direct_replication_gate_pass,combined_gate_pass
2023-07-16-hub-uniform-N10,2023-07-16,hub,uniform,10,202607232100,202607242100,40,0.012629000000000001,0.005709499999999999,-0.006919500000000002,0.011694074522693436,76.14508906595347,3.410099406737427,-0.046797456592180146,0.03295845659218014,0.039877956592180144,True,0.03150806540671021,0.02692027560889464,False,True,False
2023-07-16-hub-uniform-N20,2023-07-16,hub,uniform,20,202607232101,202607242101,40,0.007450875000000003,0.010957249999999998,0.0035063749999999956,0.01099941182407318,77.52308709600787,3.4076878504279158,-0.033976187034747335,0.04098893703474733,0.037482562034747334,True,0.02862388795020122,0.026460319713758628,True,True,True
2023-07-16-hub-uniform-N40,2023-07-16,hub,uniform,40,202607232102,202607242102,40,0.001762781250000001,0.007699312500000002,0.005936531250000002,0.011492582310165304,75.91656329225542,3.4105081004130637,-0.03325901381348265,0.04513207631348266,0.039195545063482655,True,0.0310932599740415,0.026305776343658542,False,True,False
2023-07-16-hub-uniform-N80,2023-07-16,hub,uniform,80,202607232103,202607242103,40,-0.0017423203125000008,0.005492195312500001,0.007234515625000002,0.011988436848885864,77.0770131269526,3.4084587306204237,-0.03362757661907662,0.04809660786907662,0.04086209224407662,True,0.03164279570909766,0.02835039044305146,False,True,False
2023-07-16-primary-hotspot-N10,2023-07-16,primary,hotspot,10,202607232010,202607242010,40,-0.0116145,-0.0131125,-0.0014979999999999993,0.011723933917418675,76.15011432991105,3.4100904481340453,-0.04147767506634418,0.03848167506634418,0.03997967506634418,True,0.03158555664347948,0.02699247821678143,False,True,False
2023-07-16-primary-hotspot-N20,2023-07-16,primary,hotspot,20,202607232011,202607242011,40,-0.038478374999999995,-0.036824,0.0016543749999999927,0.008618707235418533,76.8060359787874,3.4089315434921375,-0.02772620795894216,0.031034957958942146,0.029380582958942154,True,0.02290440774030906,0.020206349490782476,True,True,True
2023-07-16-primary-hotspot-N40,2023-07-16,primary,hotspot,40,202607232012,202607242012,40,-0.0381865625,-0.033864375,0.004322187499999998,0.006757095038170455,77.91154045089213,3.407023986045942,-0.018699397371038762,0.027343772371038758,0.02302158487103876,True,0.01664483229470021,0.01721546353312565,True,True,True
2023-07-16-primary-hotspot-N80,2023-07-16,primary,hotspot,80,202607232013,202607242013,40,-0.023030273437500002,-0.0213568984375,0.0016733750000000013,0.003352040866091222,77.08190068290034,3.4084502341846736,-0.00975188947502522,0.013098639475025223,0.011425264475025221,True,0.007928250449336661,0.00884635009186195,True,True,True
2023-07-16-primary-uniform-N10,2023-07-16,primary,uniform,10,202607232000,202607242000,40,-0.0048664999999999976,0.0012134999999999987,0.006079999999999996,0.01210818910796982,77.2400076580933,3.408175984207889,-0.03518683933003029,0.04734683933003028,0.04126683933003029,True,0.02879766832699046,0.03181109873439678,False,True,False
2023-07-16-primary-uniform-N20,2023-07-16,primary,uniform,20,202607232001,202607242001,40,-0.0040882500000000025,0.01643775,0.020526000000000003,0.011699626990410574,77.4208446890526,3.407863728064836,-0.019344734452508554,0.06039673445250856,0.039870734452508556,True,0.030559579678051056,0.028021470994150175,False,True,False
2023-07-16-primary-uniform-N40,2023-07-16,primary,uniform,40,202607232002,202607242002,40,0.0005083437499999996,0.015692875000000002,0.015184531250000003,0.01260639939651152,67.99557308867034,3.4264392577417935,-0.028010530540979524,0.058379593040979526,0.043195061790979525,True,0.024802294640005672,0.03715827674193745,False,True,False
2023-07-16-primary-uniform-N80,2023-07-16,primary,uniform,80,202607232003,202607242003,40,-0.007500460937499997,0.007379539062500001,0.014879999999999997,0.010850512537922291,77.99752583987751,3.4068779622685765,-0.022086372044766336,0.05184637204476633,0.036966372044766334,True,0.027113537278582157,0.027266676999418978,True,True,True
