k,N,p_bias,source,signed_relative_error_percent,absolute_relative_error_percent,uncertainty_aware_error_upper_percent,top20_conservative_bound
6,28,0.94,blind2,0.1674870986237027,0.1674870986237027,3.148013703057728,False
6,28,1.0,blind2,1.6840742889423832,1.6840742889423832,4.7991944337195,True
6,28,1.06,blind2,-1.092450748033003,1.092450748033003,3.805385390205329,False
6,28,1.275,blind2,1.6024424452209614,1.6024424452209614,3.58169356231659,False
6,28,1.675,blind2,0.7536531047189957,0.7536531047189957,2.1584047957504016,False
6,28,1.875,blind2,0.44368739306417593,0.44368739306417593,1.7041888455276988,False
6,56,0.325,blind2,-1.186588166330761,1.186588166330761,1.9812520900974961,False
6,56,0.525,blind2,-0.2847737635024805,0.2847737635024805,1.281483436687303,False
6,56,0.725,blind2,0.17248698546477248,0.17248698546477248,1.5707564727534873,False
6,56,0.94,blind2,-0.9256474123137499,0.9256474123137499,3.431113355632198,False
6,56,1.0,blind2,-0.51586169372593,0.51586169372593,3.4216361515395866,False
6,56,1.06,blind2,0.49514783648621985,0.49514783648621985,3.0978776679154274,False
6,56,1.275,blind2,0.9794989632568591,0.9794989632568591,2.505408770718276,False
6,56,1.675,blind2,0.6620027363927232,0.6620027363927232,1.728547254934809,False
6,56,1.875,blind2,1.0341875210713896,1.0341875210713896,1.9766850844597172,False
6,112,0.325,blind2,-0.11572529639487589,0.11572529639487589,0.6822864856763311,False
6,112,0.525,blind2,-0.1154234160339422,0.1154234160339422,0.8289415722332327,False
6,112,0.725,blind2,-0.16369365808806743,0.16369365808806743,1.1369611312309846,False
6,112,0.94,blind2,1.0600629128968202,1.0600629128968202,3.1713799346993143,False
6,112,1.0,blind2,0.7478026425353652,0.7478026425353652,3.9255825929948918,False
6,112,1.06,blind2,2.26746266705298,2.26746266705298,4.378600306382485,False
6,112,1.275,blind2,-0.4478959352614045,0.4478959352614045,1.5518517460430759,False
6,112,1.675,blind2,-0.6120770720038422,0.6120770720038422,1.3524318559509863,False
6,112,1.875,blind2,-0.544751617731025,0.544751617731025,1.2058277253419458,False
6,128,0.3,boundary_confirmation,-0.1834713576276118,0.1834713576276118,0.6339058592763402,False
6,128,0.975,boundary_confirmation,-0.7327497783714311,0.7327497783714311,2.9045636822131793,False
6,128,1.025,boundary_confirmation,-0.27469905796427047,0.27469905796427047,2.4012351322821868,False
6,128,1.9,boundary_confirmation,-0.794374862352999,0.794374862352999,1.3229576362196571,False
7,10,0.3,boundary_confirmation,0.5347744855397437,0.5347744855397437,2.1995834125597025,False
7,10,0.975,boundary_confirmation,-0.666549212333189,0.666549212333189,3.1247649591952253,False
7,10,1.025,boundary_confirmation,-0.1481567104526318,0.1481567104526318,2.607793493515309,False
7,10,1.9,boundary_confirmation,0.5272923890721997,0.5272923890721997,2.157027099579234,False
7,14,0.325,blind2,0.6019266154989984,0.6019266154989984,2.2597321132438397,False
7,14,0.525,blind2,0.5119971522769104,0.5119971522769104,2.515315821653119,False
7,14,0.725,blind2,0.18350183593560868,0.18350183593560868,2.625893352483444,False
7,14,0.94,blind2,0.11001613759693551,0.11001613759693551,3.1048784163943743,False
7,14,1.0,blind2,0.938507799744894,0.938507799744894,3.945468422689369,False
7,14,1.06,blind2,-1.7103570114078255,1.7103570114078255,4.485972372530533,False
7,14,1.275,blind2,1.4231015795784472,1.4231015795784472,3.8532177336130236,False
7,14,1.675,blind2,0.746733737743722,0.746733737743722,2.631720779300184,False
7,14,1.875,blind2,0.5884272201866967,0.5884272201866967,2.3177822173992446,False
7,28,0.325,blind2,-1.6538667486811467,1.6538667486811467,2.7862851702619373,False
7,28,0.525,blind2,-0.6232283972464345,0.6232283972464345,2.0445574891468143,False
