panel,k,N,p_bias,mc_mean,formula_mean
N=56,41,56,0.325,1702.5883333333334,1674.2961795106548
N=56,42,56,0.325,1747.679,1715.397679040406
N=56,43,56,0.325,1783.6036666666666,1756.5199312900932
N=56,44,56,0.325,1829.2891666666667,1797.6632285054586
N=56,45,56,0.325,1869.252,1838.8278625119417
N=56,46,56,0.325,1908.5936666666666,1880.0141246055946
N=56,47,56,0.325,1941.985,1921.222305452239
N=56,48,56,0.325,1987.951,1962.452694993958
N=56,49,56,0.325,2033.2103333333334,2003.705582362042
N=56,50,56,0.325,2071.9735,2044.9812557955634
N=56,3,56,0.94,1353.4276666666667,1356.1976540893577
N=56,4,56,0.94,1742.0968333333333,1726.9779226816165
N=56,5,56,0.94,2136.5696666666668,2083.0423319052047
N=56,6,56,0.94,2440.497,2417.906602671905
N=56,7,56,0.94,2761.6886666666664,2735.9192267835065
N=56,8,56,0.94,3059.2206666666666,3040.4229953018416
N=56,9,56,0.94,3368.8553333333334,3333.951984893343
N=56,10,56,0.94,3629.5088333333333,3618.4294775194508
N=56,11,56,0.94,3993.284166666667,3895.326217625295
N=56,12,56,0.94,4213.8385,4165.77831690685
N=56,13,56,0.94,4505.780833333333,4430.673040229112
N=56,14,56,0.94,4765.833333333333,4690.710919794758
N=56,15,56,0.94,5055.313166666667,4946.4508948112625
N=56,16,56,0.94,5245.717833333333,5198.3433691205355
N=56,17,56,0.94,5554.944166666667,5446.754653344657
N=56,18,56,0.94,5722.879,5691.985224141356
N=56,19,56,0.94,6039.455333333333,5934.283507875239
N=56,20,56,0.94,6219.701166666667,6173.856393131153
N=56,21,56,0.94,6481.764166666667,6410.877328294705
N=56,22,56,0.94,6726.4215,6645.4926183701355
N=56,23,56,0.94,6966.612666666667,6877.82636579458
N=56,24,56,0.94,7157.971166666666,7107.984380455365
N=56,25,56,0.94,7421.453333333333,7336.057298986939
N=56,26,56,0.94,7607.800666666667,7562.123092240854
N=56,27,56,0.94,7833.821833333333,7786.249095439208
N=56,28,56,0.94,8052.361166666667,8008.493663030195
N=56,29,56,0.94,8180.628,8228.907526265653
N=56,30,56,0.94,8522.762333333334,8447.534913641042
N=56,31,56,0.94,8629.954166666666,8664.414480907564
N=56,32,56,0.94,8802.662166666667,8879.580087196366
N=56,33,56,0.94,9091.544666666667,9093.061446035405
N=56,34,56,0.94,9282.576,9304.884674076458
N=56,35,56,0.94,9534.650666666666,9515.072755734338
N=56,36,56,0.94,9706.041166666666,9723.645938345004
N=56,37,56,0.94,9920.496,9930.622069630248
N=56,38,56,0.94,10140.937666666667,10136.016887032854
N=56,39,56,0.94,10295.2475,10339.844266721839
N=56,40,56,0.94,10517.84,10542.116438659907
N=56,41,56,0.94,10787.382333333333,10742.844172996154
N=56,42,56,0.94,10917.596166666666,10942.036942137063
N=56,43,56,0.94,11099.595,11139.703062111384
N=56,44,56,0.94,11339.265833333333,11335.849816244656
N=56,45,56,0.94,11485.3435,11530.483563668418
N=56,46,56,0.94,11668.738666666666,11723.609834786424
N=56,47,56,0.94,11899.1865,11915.23341548815
N=56,48,56,0.94,12072.834166666667,12105.3584216251
N=56,49,56,0.94,12284.905666666667,12293.988365036868
N=56,50,56,0.94,12453.741833333333,12481.12621222372
N=56,3,56,1.0,3150.8703333333333,3136.0
N=56,4,56,1.0,3338.8108833333335,3344.5593937677054
N=56,5,56,1.0,3589.624,3609.4543455104226
N=56,6,56,1.0,3888.524,3868.4645942326606
N=56,7,56,1.0,4134.386,4122.950027213303
N=56,8,56,1.0,4295.897333333333,4373.722375970289
N=56,9,56,1.0,4585.619333333333,4621.305223976329
N=56,10,56,1.0,4875.120333333333,4866.056070350962
N=56,11,56,1.0,5138.808,5108.229904665533
N=56,12,56,1.0,5395.0768333333335,5348.01500178888
N=56,13,56,1.0,5546.23,5585.554339731938
N=56,14,56,1.0,5878.233666666667,5820.9590575629245
N=56,15,56,1.0,6034.395666666666,6054.3172590406775
N=56,16,56,1.0,6339.473666666667,6285.699969191038
N=56,17,56,1.0,6548.471666666666,6515.165281891879
N=56,18,56,1.0,6781.027166666667,6742.761320145926
N=56,19,56,1.0,6995.761,6968.528394912186
N=56,20,56,1.0,7194.9825,7192.500609547133
N=56,21,56,1.0,7452.228666666667,7414.707072383509
N=56,22,56,1.0,7635.2995,7635.172826966
N=56,23,56,1.0,7885.864,7853.919575336402
N=56,24,56,1.0,8019.708,8070.966247271364
N=56,25,56,1.0,8301.299166666666,8286.329453240694
N=56,26,56,1.0,8469.622,8500.023848474166
N=56,27,56,1.0,8735.853166666666,8712.062428282203
N=56,28,56,1.0,8911.904833333334,8922.456769642617
N=56,29,56,1.0,9075.663166666667,9131.217230375027
N=56,30,56,1.0,9284.510333333334,9338.353114535563
N=56,31,56,1.0,9462.444666666666,9543.872810681807
N=56,32,56,1.0,9772.1085,9747.783908178833
N=56,33,56,1.0,9983.587166666666,9950.09329560279
N=56,34,56,1.0,10047.702333333333,10150.80724445031
N=56,35,56,1.0,10340.375166666667,10349.93148071062
N=56,36,56,1.0,10540.900333333333,10547.471246352718
N=56,37,56,1.0,10741.4875,10743.431352386277
N=56,38,56,1.0,10836.549833333333,10937.81622484506
N=56,39,56,1.0,11095.666333333333,11130.62994479629
N=56,40,56,1.0,11264.759833333334,11321.876283283811
N=56,41,56,1.0,11507.2215,11511.558731955882
N=56,42,56,1.0,11596.6015,11699.680530001717
N=56,43,56,1.0,11878.7625,11886.24468791811
N=56,44,56,1.0,12109.645333333334,12071.254008543461
N=56,45,56,1.0,12224.745,12254.711105727842
N=56,46,56,1.0,12517.637333333334,12436.618420950841
N=56,47,56,1.0,12561.255,12616.978238152118
N=56,48,56,1.0,12930.189,12795.7926970005
N=56,49,56,1.0,12974.124666666667,12973.06380479479
N=56,50,56,1.0,13168.923833333334,13148.793447162254
N=56,3,56,1.06,1519.8533333333332,1531.4801486948281
N=56,4,56,1.06,2053.0003333333334,2028.0210358536472
N=56,5,56,1.06,2495.5778333333333,2515.6813555779636
N=56,6,56,1.06,2910.2553333333335,2924.6653996525583
N=56,7,56,1.06,3270.1058333333335,3283.921337385032
N=56,8,56,1.06,3633.0803333333333,3611.508206266962
N=56,9,56,1.06,3922.401,3917.953302949183
N=56,10,56,1.06,4270.037333333334,4209.4903449777985
N=56,11,56,1.06,4594.270333333333,4489.9614795005045
N=56,12,56,1.06,4805.830666666667,4761.843232219046
N=56,13,56,1.06,5137.530666666667,5026.801033588042
N=56,14,56,1.06,5366.390666666666,5285.997939047708
N=56,15,56,1.06,5615.46,5540.273172355601
N=56,16,56,1.06,5904.7283333333335,5790.249513655854
N=56,17,56,1.06,6130.089833333333,6036.400348766704
N=56,18,56,1.06,6398.678833333333,6279.092994632556
N=56,19,56,1.06,6581.2035,6518.61757596511
N=56,20,56,1.06,6841.083833333333,6755.206812175311
N=56,21,56,1.06,7087.844666666667,6989.049914290722
N=56,22,56,1.06,7295.274833333333,7220.302561546635
N=56,23,56,1.06,7496.444,7449.094204785625
N=56,24,56,1.06,7807.705833333333,7675.533506914079
N=56,25,56,1.06,7983.8325,7899.712459337001
N=56,26,56,1.06,8201.530833333334,8121.709540572758
N=56,27,56,1.06,8344.5425,8341.592170775702
N=56,28,56,1.06,8610.546666666667,8559.418641109753
N=56,29,56,1.06,8820.142833333333,8775.239646230943
N=56,30,56,1.06,9008.427,8989.099513176225
N=56,31,56,1.06,9202.398333333333,9201.037195449595
N=56,32,56,1.06,9482.019833333334,9411.087083661207
N=56,33,56,1.06,9604.5185,9619.279671499675
N=56,34,56,1.06,9858.7795,9825.642106632537
N=56,35,56,1.06,10119.210333333333,10030.198649341377
N=56,36,56,1.06,10263.776666666667,10232.971056626922
N=56,37,56,1.06,10500.0115,10433.978905692471
N=56,38,56,1.06,10717.834666666668,10633.239867798766
N=56,39,56,1.06,10884.963,10830.769941243248
N=56,40,56,1.06,11110.987333333333,11026.58365048108
N=56,41,56,1.06,11269.754,11220.69421705028
N=56,42,56,1.06,11484.927666666666,11413.113706897695
N=56,43,56,1.06,11624.627833333334,11603.853157859045
N=56,44,56,1.06,11839.885666666667,11792.922690373864
N=56,45,56,1.06,12064.5785,11980.331603977538
N=56,46,56,1.06,12311.8385,12166.088461678011
N=56,47,56,1.06,12419.4145,12350.201163972704
N=56,48,56,1.06,12549.501666666667,12532.677013974278
N=56,49,56,1.06,12804.1365,12713.522774878898
N=56,50,56,1.06,12975.429166666667,12892.74472081753
N=56,3,56,1.875,165.2705,165.56826415508849
N=56,4,56,1.875,296.948,300.1153321453085
N=56,5,56,1.875,451.31216666666666,457.19270586949807
N=56,6,56,1.875,624.3638333333333,630.8209261837496
N=56,7,56,1.875,808.9455,816.5168460122687
N=56,8,56,1.875,1005.0203333333334,1011.3154072185213
N=56,9,56,1.875,1216.2513333333334,1213.2503606564967
N=56,10,56,1.875,1430.3051666666668,1420.961330809198
N=56,11,56,1.875,1652.0496666666666,1633.443708665613
N=56,12,56,1.875,1859.7736666666667,1849.9045648747754
N=56,13,56,1.875,2088.7111666666665,2069.6844944407053
N=56,14,56,1.875,2315.697166666667,2292.216459065173
N=56,15,56,1.875,2540.4366666666665,2517.0039585802892
N=56,16,56,1.875,2774.5903333333335,2743.6087423966123
N=56,17,56,1.875,2999.783,2971.6430104932624
N=56,18,56,1.875,3245.7361666666666,3200.7636621318466
N=56,19,56,1.875,3466.348,3430.6674950588836
N=56,20,56,1.875,3711.351,3661.0869091139434
N=56,21,56,1.875,3931.508,3891.785960647031
N=56,22,56,1.875,4162.416833333334,4122.556731190837
N=56,23,56,1.875,4413.693666666667,4353.216010650418
