k,N,p_bias,absolute_relative_error_percent
45,14,1.875,0.5842362676848865
46,14,1.875,0.5619414636211304
47,14,1.875,0.075987980504547
48,14,1.875,0.9820116765912575
49,14,1.875,0.4376891849564097
50,14,1.875,0.17743429216507942
3,28,0.325,0.16401849308602617
4,28,0.325,2.0483880890988737
5,28,0.325,1.9953840193258716
6,28,0.325,1.949900522595509
7,28,0.325,1.6538667486811467
8,28,0.325,1.2782070316185412
9,28,0.325,1.6563168511024031
10,28,0.325,1.2849561069505946
11,28,0.325,0.9669643449745127
12,28,0.325,1.0216159180599618
13,28,0.325,1.100367816957539
14,28,0.325,0.6091066425227418
15,28,0.325,0.4176663371487764
16,28,0.325,0.61101806981797
17,28,0.325,0.7610113032180457
18,28,0.325,0.4663860612689837
19,28,0.325,0.04473689263761741
20,28,0.325,0.7287635246690114
21,28,0.325,0.1787739552627981
22,28,0.325,0.14996846328677058
23,28,0.325,0.35061805246811734
24,28,0.325,0.589989477344072
25,28,0.325,0.3755191565244299
26,28,0.325,0.4819371813291469
27,28,0.325,0.1670419316251222
28,28,0.325,0.025877230292370972
29,28,0.325,0.19121924261668638
30,28,0.325,0.12286670915012499
31,28,0.325,0.26699842567526916
32,28,0.325,0.2243526608614889
33,28,0.325,0.2452428261997981
34,28,0.325,0.6363664521061165
35,28,0.325,0.007383198137116189
36,28,0.325,0.5357305406371611
37,28,0.325,0.44763012028059085
38,28,0.325,0.4379505268048386
39,28,0.325,0.4217099548402931
40,28,0.325,0.12474470425026896
41,28,0.325,0.19374572834699597
42,28,0.325,0.04752257322228263
43,28,0.325,0.07088617764769896
44,28,0.325,0.21853921723226474
45,28,0.325,0.13848652030060282
46,28,0.325,0.1299181801356168
47,28,0.325,0.5046444353218887
48,28,0.325,0.505235745404003
49,28,0.325,0.6458998303709317
50,28,0.325,0.024132608136930002
3,28,0.525,0.05312468639587457
4,28,0.525,0.7029259880180713
5,28,0.525,0.7814144660160991
6,28,0.525,0.12139279029630087
7,28,0.525,0.6232283972464345
8,28,0.525,0.05834463488423549
9,28,0.525,0.034812892212750385
10,28,0.525,0.6103276452036515
11,28,0.525,0.414931559046412
12,28,0.525,0.12644705185756286
13,28,0.525,0.015590800315014438
14,28,0.525,0.01799208539533873
15,28,0.525,0.5580011367842642
16,28,0.525,0.35982619305964364
17,28,0.525,0.7972334124052824
18,28,0.525,0.4978832633337749
19,28,0.525,0.25580148396489977
20,28,0.525,0.06538647597541017
21,28,0.525,0.7645409580368787
22,28,0.525,0.6300247321275351
23,28,0.525,0.0843619997497901
24,28,0.525,0.17351359381536346
25,28,0.525,0.24067069027946061
26,28,0.525,0.35642268181518394
27,28,0.525,0.07344029367129164
28,28,0.525,0.5352443835149023
29,28,0.525,0.7017529391006597
30,28,0.525,0.3874927342311333
31,28,0.525,0.5540871949322427
32,28,0.525,0.20291089456149153
33,28,0.525,0.4055849556212383
34,28,0.525,0.2021260375566619
35,28,0.525,0.1042156387810764
36,28,0.525,0.7861083147373013
37,28,0.525,0.07007481043031479
38,28,0.525,0.11422948607135279
39,28,0.525,0.5551304667903059
40,28,0.525,0.5284189576911352
41,28,0.525,0.8061307338289039
42,28,0.525,0.21721541723123106
43,28,0.525,0.8857042827315293
