experiment_id,stage,regime,alpha,scale,seed,block,block_size,mean_tau,normalized_mean
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,12,200,1123.815,0.8990520000000001
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,13,200,1130.5,0.9044
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,14,200,1114.295,0.891436
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,15,200,1103.045,0.8824360000000001
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,16,200,1119.105,0.895284
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,17,200,1102.81,0.8822479999999999
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,18,200,1126.44,0.9011520000000001
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,19,200,1082.95,0.86636
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,20,200,1108.99,0.887192
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,21,200,1116.76,0.893408
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,22,200,1106.015,0.884812
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,23,200,1113.51,0.890808
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,24,200,1114.85,0.8918799999999999
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,25,200,1115.325,0.89226
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,26,200,1135.88,0.9087040000000001
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,27,200,1131.895,0.905516
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,28,200,1116.65,0.8933200000000001
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,29,200,1132.675,0.90614
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,30,200,1096.59,0.8772719999999999
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,31,200,1144.16,0.915328
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,32,200,1109.245,0.887396
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,33,200,1109.725,0.8877799999999999
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,34,200,1078.365,0.862692
