cell_id,date,mode,demand_kind,scale,primary_seed,replication_seed,primary_repetitions,replication_repetitions,total_repetitions,block_size,pooled_block_count,pooled_mean_difference,pooled_standard_error,pooled_simultaneous_critical,pooled_ci_low,pooled_ci_high,pooled_ci_halfwidth,precision_target,pooled_precision_gate_pass
2022-05-31-primary-hotspot-N40,2022-05-31,primary,hotspot,40,202607231012,202607241012,20000,20000,40000,500,80,-0.03140279687499999,0.0030689286515423243,3.405199776924186,-0.04185311203462816,-0.020952481715371826,0.010450315159628165,0.03,True
2022-05-31-primary-hotspot-N80,2022-05-31,primary,hotspot,80,202607231013,202607241013,20000,20000,40000,500,80,-0.01761439453125,0.0020256300818102604,3.405199776924186,-0.02451206963396122,-0.01071671942853878,0.0068976751027112196,0.03,True
2022-05-31-primary-uniform-N10,2022-05-31,primary,uniform,10,202607231000,202607241000,20000,20000,40000,500,80,-0.0010134999999999992,0.005231914439829478,3.405199776924186,-0.01882921388339377,0.016802213883393768,0.017815713883393768,0.03,True
2022-05-31-primary-uniform-N20,2022-05-31,primary,uniform,20,202607231001,202607241001,20000,20000,40000,500,80,0.015231624999999999,0.00578840873116634,3.405199776924186,-0.004479063120113633,0.03494231312011363,0.01971068812011363,0.03,True
2022-05-31-primary-uniform-N40,2022-05-31,primary,uniform,40,202607231002,202607241002,20000,20000,40000,500,80,0.015169234374999998,0.005207634642737316,3.405199776924186,-0.002563801948751771,0.03290227069875177,0.01773303632375177,0.03,True
2022-05-31-primary-uniform-N80,2022-05-31,primary,uniform,80,202607231003,202607241003,20000,20000,40000,500,80,0.02411182421875,0.005149200661835978,3.405199776924186,0.006577767273728257,0.04164588116377174,0.017534056945021744,0.03,True
2023-07-16-hub-hotspot-N10,2023-07-16,hub,hotspot,10,202607232110,202607242110,20000,20000,40000,500,80,-0.01568125,0.005398896621260399,3.405199776924186,-0.03406557157035266,0.002703071570352652,0.018384321570352653,0.03,True
2023-07-16-hub-hotspot-N20,2023-07-16,hub,hotspot,20,202607232111,202607242111,20000,20000,40000,500,80,-0.02931625,0.005090250718518039,3.405199776924186,-0.0466495706111858,-0.011982929388814196,0.017333320611185803,0.03,True
2023-07-16-hub-hotspot-N40,2023-07-16,hub,hotspot,40,202607232112,202607242112,20000,20000,40000,500,80,-0.037914234375,0.0027671569717735212,3.405199776924186,-0.0473369566779974,-0.028491512072002602,0.009422722302997401,0.03,True
2023-07-16-hub-hotspot-N80,2023-07-16,hub,hotspot,80,202607232113,202607242113,20000,20000,40000,500,80,-0.02245518359375,0.0017152692926063985,3.405199776924186,-0.028296018206298214,-0.016614348981201787,0.005840834612548214,0.03,True
2023-07-16-hub-uniform-N10,2023-07-16,hub,uniform,10,202607232100,202607242100,20000,20000,40000,500,80,0.00916925,0.005822937793746536,3.405199776924186,-0.010659016476309114,0.028997516476309115,0.019828266476309114,0.03,True
2023-07-16-hub-uniform-N20,2023-07-16,hub,uniform,20,202607232101,202607242101,20000,20000,40000,500,80,0.009204062500000002,0.0054683454393533075,3.405199776924186,-0.009416746170230271,0.027824871170230275,0.018620808670230273,0.03,True
2023-07-16-hub-uniform-N40,2023-07-16,hub,uniform,40,202607232102,202607242102,20000,20000,40000,500,80,0.004731046875000001,0.005719564292360398,3.405199776924186,-0.014745212177449164,0.024207305927449168,0.019476259052449166,0.03,True
2023-07-16-hub-uniform-N80,2023-07-16,hub,uniform,80,202607232103,202607242103,20000,20000,40000,500,80,0.0018749375000000005,0.005970047183661812,3.405199776924186,-0.01845426583803207,0.022204140838032068,0.020329203338032068,0.03,True
2023-07-16-primary-hotspot-N10,2023-07-16,primary,hotspot,10,202607232010,202607242010,20000,20000,40000,500,80,-0.012363500000000001,0.0058253572908840276,3.405199776924186,-0.03220000534742197,0.007473005347421969,0.01983650534742197,0.03,True
2023-07-16-primary-hotspot-N20,2023-07-16,primary,hotspot,20,202607232011,202607242011,20000,20000,40000,500,80,-0.0376511875,0.004283003604404988,3.405199776924186,-0.052235670418285356,-0.02306670458171465,0.014584482918285352,0.03,True
2023-07-16-primary-hotspot-N40,2023-07-16,primary,hotspot,40,202607232012,202607242012,20000,20000,40000,500,80,-0.03602546875,0.003365889629079051,3.405199776924186,-0.047486995364091414,-0.02456394213590858,0.011461526614091415,0.03,True
2023-07-16-primary-hotspot-N80,2023-07-16,primary,hotspot,80,202607232013,202607242013,20000,20000,40000,500,80,-0.022193585937500003,0.0016680372622328936,3.405199776924186,-0.027873586050756682,-0.016513585824243324,0.005680000113256679,0.03,True
2023-07-16-primary-uniform-N10,2023-07-16,primary,uniform,10,202607232000,202607242000,20000,20000,40000,500,80,-0.0018265000000000004,0.00602537077776079,3.405199776924186,-0.022344091228316553,0.01869109122831655,0.02051759122831655,0.03,True
2023-07-16-primary-uniform-N20,2023-07-16,primary,uniform,20,202607232001,202607242001,20000,20000,40000,500,80,0.0061747500000000006,0.005926249232656629,3.405199776924186,-0.014005312565039483,0.026354812565039482,0.020180062565039483,0.03,True
2023-07-16-primary-uniform-N40,2023-07-16,primary,uniform,40,202607232002,202607242002,20000,20000,40000,500,80,0.008100609375,0.006321159923336949,3.405199776924186,-0.013424202985849084,0.029625421735849082,0.021524812360849084,0.03,True
2023-07-16-primary-uniform-N80,2023-07-16,primary,uniform,80,202607232003,202607242003,20000,20000,40000,500,80,-6.046093749999884e-05,0.00545541101207675,3.405199776924186,-0.018637225298853494,0.018516303423853495,0.018576764361353495,0.03,True
